ri,ci,anomaly,intensity,type
0,1.307820512820513,False,10,cpu
0,1.520072202166065,True,15,cpu
0,1.5413537117903928,False,8,cpu
0,46886.92746987952,True,15,memory
0,1.4048648648648647,True,11,cpu
0,1.38689378757515,True,6,memory
0,1.6557114493712777,False,6,io
0,1.6851327433628318,True,8,cpu
0,1.4721922626025792,True,15,io
0,1.5838018741633195,True,16,io
0,1.2774774774774775,True,11,cpu
0,4876.39540229885,True,14,io
0,1.6766146993318485,False,10,cpu
0,1.5557678355501812,False,4,cpu
0,1.6098394711992443,False,4,cpu
0,1.563343949044586,True,2,io
0,1.715,True,12,io
0,1.6749799196787147,False,5,io
0,1.1901052631578948,False,7,io
0,1.7766225839267549,True,11,cpu
0,1.3687924970691676,False,16,cpu
0,1.4565971830985915,True,10,memory
0,1.4952189349112426,True,11,io
0,1.3996978851963746,False,4,cpu
0,17963.806898047722,True,14,io
0,1.34462915601023,True,1,cpu
0,4267.301924577373,True,8,cpu
0,1.75,True,14,io
0,1.4290547263681592,False,4,cpu
0,1.5357333333333334,True,15,io
0,14910.025745140389,True,15,io
0,1.339322033898305,False,6,io
0,13889.667873134327,True,5,cpu
0,1.3782253631723598,True,9,memory
0,1.304274193548387,True,5,cpu
0,1.6966732673267326,False,12,memory
0,1.4925847776940468,False,16,cpu
0,4223.950779896014,True,11,io
0,1.7318423047763458,True,12,io
0,1.1515463917525774,False,16,cpu
0,1.5347973609802077,False,6,cpu
0,8833.088801742919,True,11,io
0,1.368421052631579,True,6,memory
0,1.3498363211223694,False,10,cpu
0,11530.03251968504,True,8,cpu
0,1.7146461538461537,False,6,memory
0,1.7937081659973229,False,13,memory
0,1.4768930041152264,True,15,cpu
0,1.3631971326164876,True,15,cpu
0,1.668771266540643,True,11,cpu
0,1.2752808988764044,True,15,cpu
0,2368.553693901036,True,7,io
0,2448.997970711297,True,5,cpu
0,1.3917792792792794,True,15,cpu
0,1.638733705772812,False,10,cpu
0,1.6077030976037403,False,8,cpu
0,1.2086138613861386,True,16,io
0,1.10659649122807,True,11,cpu
0,1.7875,False,8,cpu
0,1.550512048192771,True,5,cpu
0,1.6451546391752576,True,1,cpu
0,1985.9681396054627,True,8,cpu
0,1.3387786259541985,True,11,io
0,1.0933672727272727,False,13,io
0,1.240377358490566,False,8,cpu
0,1.4770370370370371,False,8,cpu
0,3452.741481481481,True,5,cpu
0,1.5441057542768275,True,16,io
0,1015.353060584958,True,8,cpu
0,1.5194762915782023,True,10,cpu
0,10333.238327759196,True,2,io
0,1.4124324324324324,False,16,cpu
0,1.045613540197461,True,15,cpu
0,1.4781889250814333,False,12,memory
0,1.2002150537634408,True,6,cpu
0,1874.0484931506849,True,7,io
0,1.536029313790806,True,1,memory
0,1.485768566493955,True,7,cpu
0,1.4082059282371295,True,7,io
0,1.4232285115303984,False,12,cpu
0,1.704179104477612,False,6,io
0,1.7241767068273093,True,5,io
0,1.6658015267175572,False,13,io
0,4943.617800829875,False,6,memory
0,1.2764102564102564,True,4,io
0,1.689679180887372,False,10,cpu
0,1.5508555657773688,True,5,memory
0,1.7688655862726406,True,12,cpu
0,1.4446941678520626,False,4,cpu
0,1.3499169632265715,False,8,cpu
0,1.7974113767518547,True,11,cpu
0,1.3028430160692213,True,6,cpu
0,1.507006507592191,True,11,cpu
0,1.7780477223427331,True,6,cpu
0,908.6616666666664,True,15,cpu
0,1.6273041168658695,True,16,io
0,1.6206666666666667,True,12,io
0,1.4296696696696696,False,10,cpu
0,1.054325621999127,True,11,io
0,7348.089580052493,True,3,memory
0,6706.707690014904,True,8,io
0,1.256234915526951,True,1,memory
0,1.7543317230273754,True,11,cpu
0,1.7787964601769912,False,4,cpu
0,1.4064214046822745,True,16,cpu
0,1.1721908893709327,False,10,cpu
0,1.5593607305936072,True,11,cpu
0,1.193940455341506,False,12,cpu
0,1.5543379501385042,True,15,cpu
0,1.596017222820237,True,10,memory
0,1.3203846153846155,False,8,cpu
0,1.7408759124087592,True,11,cpu
0,1846.9590044247784,True,10,io
0,1.72041067761807,False,11,cpu
0,1.3196666666666663,True,10,memory
0,12340.026274509804,True,16,io
0,1.6909580193756728,False,3,cpu
0,1.3835616438356164,False,8,cpu
0,9972.055975308642,True,6,memory
0,1.5257510729613737,True,11,cpu
0,3467.003668261563,False,7,io
0,1.464551463644948,True,10,cpu
0,1.4749046454767725,True,15,io
0,1.1873130193905816,True,16,io
0,15525.879419087136,True,7,io
0,4049.0725796178335,True,15,io
0,1.7057670454545453,False,10,cpu
0,1.5645970149253732,False,10,cpu
0,2129.149871794872,True,10,cpu
0,1.547486033519553,True,5,cpu
0,1.5190031152647976,True,10,io
0,1.668212100611829,True,1,memory
0,1.091704996034893,True,15,io
0,1.166825019794141,False,10,cpu
0,1.217682177348551,True,11,cpu
0,1.478924395946999,True,11,io
0,1.5684935241990456,True,11,io
0,1.804527027027027,False,12,memory
0,1.1146733668341708,True,6,memory
0,1.5848130081300813,False,4,cpu
0,1.8765451055662188,False,12,memory
0,1.56,False,16,cpu
0,1.1442944785276077,True,15,cpu
0,1.6915539305301646,False,7,cpu
0,1.293873873873874,True,1,memory
0,1.6673151750972763,False,6,io
0,1.824802043422733,True,5,cpu
0,1809.295782463929,True,9,memory
0,1.809702333065165,False,6,io
0,2795.0185507246374,True,16,io
0,1.3221546961325967,True,11,io
0,10093.075260545906,True,12,cpu
0,1.67,False,5,io
0,1.3968359941944848,False,13,memory
0,1.6705263157894736,False,10,cpu
0,11088.456457326893,True,8,cpu
0,1.645,False,12,cpu
0,1450.916154589372,True,5,cpu
0,5475.808274678111,True,8,cpu
0,1.3734526854219948,True,6,memory
0,1.5050844091360476,False,5,io
0,1.3313333333333333,False,8,cpu
0,1.7243478260869565,False,7,cpu
0,3233.1109813084117,True,15,cpu
0,1.625308310991957,False,3,cpu
0,1.4350443401147626,False,5,io
0,1.6362271293375394,True,8,cpu
0,7898.605977011494,True,14,io
0,5552.529006896551,True,6,memory
0,1.5295354523227385,False,2,memory
0,1.6330749354005167,False,8,cpu
0,1.5857614213197968,False,8,cpu
0,1.5334534967555875,False,8,cpu
0,1.4261940673705378,False,5,io
0,1.5672264280798347,False,14,io
0,1.123619744058501,True,5,cpu
0,1.353159908186687,False,16,cpu
0,16097.719545454544,True,14,io
0,1.466810699588477,True,15,memory
0,14057.0704805492,True,5,io
0,1.6411027910142957,True,9,memory
0,1.7192397660818717,False,7,cpu
0,1.2492608695652174,False,10,io
0,1.70081811541271,True,6,memory
0,1.498828828828829,True,8,cpu
0,1714.3652791262136,True,7,cpu
0,13307.932289719623,False,1,cpu
0,6056.511082352941,True,3,memory
0,1.3502405498281786,False,5,io
0,5687.125666666666,True,12,cpu
0,1.4517867719644622,True,15,cpu
0,1.5266066606660669,True,12,io
0,1.2209549071618038,True,6,memory
0,1.6199069767441858,True,10,cpu
0,1.554500344589938,False,10,cpu
0,1.4999148029818956,True,11,cpu
0,3822.465304054054,True,12,cpu
0,1.22,True,4,io
0,1.533734061930783,False,12,cpu
0,4934.7003119266055,True,2,io
0,1.5696028880866426,True,10,cpu
0,1.2499449541284404,False,8,cpu
0,1.2665096359743042,True,7,memory
0,1.5052373158756138,True,8,io
0,1.5984186046511628,True,8,memory
0,1.4107784431137724,True,12,io
0,1.3821813570069752,True,16,io
0,787.6492639802632,True,16,io
0,1.6685561497326202,False,13,memory
0,1.1981818181818182,False,4,cpu
0,1.4691603053435114,True,7,io
0,1.6807237422771404,True,15,cpu
0,1.707932011331445,True,10,cpu
0,3822.594523522316,True,15,memory
0,1.6792201257861636,True,7,io
0,1.3470833333333334,True,10,cpu
0,1.398195836545875,True,1,memory
0,1.6928416912487707,False,7,cpu
0,5359.937170449058,True,8,cpu
0,4134.9512,False,14,io
0,1.2607339449541284,True,15,io
0,1.6651022395326192,True,12,io
0,1.397455268389662,False,5,io
0,1.3797731568998108,False,3,cpu
0,1.3797150997150995,False,10,cpu
0,1.1659377372817008,False,6,memory
0,2332.727876106195,True,16,io
0,1.3876444444444445,False,12,cpu
0,1.4894074969770257,True,7,io
0,1.680952380952381,False,6,memory
0,1.467562776957164,True,15,cpu
0,1.5236978579481395,True,10,memory
0,1.5001085776330074,True,6,memory
0,1.457890250399574,True,11,cpu
0,1.690695517774343,False,8,cpu
0,1.6509593023255813,False,3,cpu
0,7445.42,True,8,io
0,1.8787453874538744,False,2,memory
