ri,ci,anomaly,intensity,type
0,11987.162904911182,True,8,cpu
0,11987.162904911182,True,8,cpu
0,11987.162904911182,True,8,cpu
0,1.4965159574468083,True,8,cpu
0,1.4965159574468083,True,8,cpu
0,14539.302522522523,True,8,cpu
0,14539.302522522523,True,8,cpu
0,14539.302522522523,True,8,cpu
0,20346.393297297294,True,8,cpu
0,20346.393297297294,True,8,cpu
0,20346.393297297294,True,8,cpu
0,11784.857612565445,True,8,cpu
0,11784.857612565445,True,8,cpu
0,11784.857612565445,True,8,cpu
0,30804.890384615384,True,8,cpu
0,30804.890384615384,True,8,cpu
0,30804.890384615384,True,8,cpu
0,12769.430057012543,True,8,cpu
0,12769.430057012543,True,8,cpu
0,12769.430057012543,True,8,cpu
0,9810.34094736842,True,8,cpu
0,9810.34094736842,True,8,cpu
0,9810.34094736842,True,8,cpu
0,21831.01296875,True,8,cpu
0,21831.01296875,True,8,cpu
0,21831.01296875,True,8,cpu
0,5359.937170449058,True,8,cpu
0,5359.937170449058,True,8,cpu
0,5359.937170449058,True,8,cpu
0,6237.835813168262,True,8,cpu
0,6237.835813168262,True,8,cpu
0,6237.835813168262,True,8,cpu
0,11343.140287769784,True,8,cpu
0,11343.140287769784,True,8,cpu
0,11343.140287769784,True,8,cpu
0,11507.452336842105,True,8,cpu
0,11507.452336842105,True,8,cpu
0,11507.452336842105,True,8,cpu
0,18882.862465277776,True,8,cpu
0,18882.862465277776,True,8,cpu
0,18882.862465277776,True,8,cpu
0,7531.537097222222,True,8,cpu
0,7531.537097222222,True,8,cpu
0,7531.537097222222,True,8,cpu
0,9903.14314126394,True,8,cpu
0,9903.14314126394,True,8,cpu
0,9903.14314126394,True,8,cpu
0,9871.153259052926,True,8,cpu
0,9871.153259052926,True,8,cpu
0,9871.153259052926,True,8,cpu
0,17564.542122719737,True,8,cpu
0,17564.542122719737,True,8,cpu
0,17564.542122719737,True,8,cpu
0,9668.495571820677,True,8,cpu
0,9668.495571820677,True,8,cpu
0,9668.495571820677,True,8,cpu
0,1.3461467889908256,True,8,cpu
0,1.3461467889908256,True,8,cpu
0,12685.950036900367,True,8,cpu
0,12685.950036900367,True,8,cpu
0,12685.950036900367,True,8,cpu
0,9481.352154696133,True,8,cpu
0,9481.352154696133,True,8,cpu
0,9481.352154696133,True,8,cpu
0,10404.115117948719,True,8,cpu
0,10404.115117948719,True,8,cpu
0,10404.115117948719,True,8,cpu
0,1.3851566696508506,True,8,cpu
0,1.3851566696508506,True,8,cpu
0,1.4534328358208954,True,8,cpu
0,1.4534328358208954,True,8,cpu
0,6498.625809399478,True,8,cpu
0,6498.625809399478,True,8,cpu
0,6498.625809399478,True,8,cpu
0,7230.177142857142,True,8,cpu
0,7230.177142857142,True,8,cpu
0,7230.177142857142,True,8,cpu
0,7388.047987942728,True,8,cpu
0,7388.047987942728,True,8,cpu
0,7388.047987942728,True,8,cpu
0,5882.336041038021,True,8,cpu
0,5882.336041038021,True,8,cpu
0,5882.336041038021,True,8,cpu
0,6645.3729281767955,True,8,cpu
0,6645.3729281767955,True,8,cpu
0,6645.3729281767955,True,8,cpu
0,1.351418502202643,True,8,cpu
0,1.351418502202643,True,8,cpu
0,10648.13671875,True,8,cpu
0,10648.13671875,True,8,cpu
0,10648.13671875,True,8,cpu
0,15515.918039215687,True,8,cpu
0,15515.918039215687,True,8,cpu
0,15515.918039215687,True,8,cpu
0,6857.096488661303,True,8,cpu
0,6857.096488661303,True,8,cpu
0,6857.096488661303,True,8,cpu
0,8029.352635193133,True,8,cpu
0,8029.352635193133,True,8,cpu
0,8029.352635193133,True,8,cpu
0,1.1043040935672515,True,8,cpu
0,1.1043040935672515,True,8,cpu
0,14633.061538461538,True,8,cpu
0,14633.061538461538,True,8,cpu
0,14633.061538461538,True,8,cpu
0,15175.771188118812,True,8,cpu
0,15175.771188118812,True,8,cpu
0,15175.771188118812,True,8,cpu
0,11088.030194174757,True,8,cpu
0,11088.030194174757,True,8,cpu
0,11088.030194174757,True,8,cpu
0,8128.811724754245,True,8,cpu
0,8128.811724754245,True,8,cpu
0,8128.811724754245,True,8,cpu
0,12009.593766578248,True,8,cpu
0,12009.593766578248,True,8,cpu
0,12009.593766578248,True,8,cpu
0,1.3408695652173914,True,8,cpu
0,1.3408695652173914,True,8,cpu
0,7943.76148409894,True,8,cpu
0,7943.76148409894,True,8,cpu
0,7943.76148409894,True,8,cpu
0,1.2464161849710982,True,8,cpu
0,1.2464161849710982,True,8,cpu
0,8349.118137802607,True,8,cpu
0,8349.118137802607,True,8,cpu
0,8349.118137802607,True,8,cpu
0,5789.288439531859,True,8,cpu
0,5789.288439531859,True,8,cpu
0,5789.288439531859,True,8,cpu
0,1.271084577114428,True,8,cpu
0,1.271084577114428,True,8,cpu
0,6379.271487179487,True,8,cpu
0,6379.271487179487,True,8,cpu
0,6379.271487179487,True,8,cpu
0,1.1202314814814816,True,8,cpu
0,1.1202314814814816,True,8,cpu
0,8578.173339960238,True,8,cpu
0,8578.173339960238,True,8,cpu
0,8578.173339960238,True,8,cpu
0,6367.755336787564,True,8,cpu
0,6367.755336787564,True,8,cpu
0,6367.755336787564,True,8,cpu
0,9514.758146453089,True,8,cpu
0,9514.758146453089,True,8,cpu
0,9514.758146453089,True,8,cpu
0,11993.241562952244,True,8,cpu
0,11993.241562952244,True,8,cpu
0,11993.241562952244,True,8,cpu
0,13724.112558139535,True,8,cpu
0,13724.112558139535,True,8,cpu
0,13724.112558139535,True,8,cpu
0,1.6026192541196878,True,8,cpu
0,1.6026192541196878,True,8,cpu
0,13649.490776859504,True,8,cpu
0,13649.490776859504,True,8,cpu
0,13649.490776859504,True,8,cpu
0,5842.690335954253,True,8,cpu
0,5842.690335954253,True,8,cpu
0,5842.690335954253,True,8,cpu
0,1.0877007801743919,True,8,cpu
0,1.0877007801743919,True,8,cpu
0,15302.804419475655,True,8,cpu
0,15302.804419475655,True,8,cpu
0,15302.804419475655,True,8,cpu
0,8526.16643678161,True,8,cpu
0,8526.16643678161,True,8,cpu
0,8526.16643678161,True,8,cpu
0,41842.13517948717,True,8,cpu
0,41842.13517948717,True,8,cpu
0,41842.13517948717,True,8,cpu
0,1.5703118779031189,True,8,cpu
0,1.5703118779031189,True,8,cpu
0,1.4455496264674492,True,8,cpu
0,1.4455496264674492,True,8,cpu
0,9502.14523076923,True,8,cpu
0,9502.14523076923,True,8,cpu
0,9502.14523076923,True,8,cpu
0,15594.933840155945,True,8,cpu
0,15594.933840155945,True,8,cpu
0,15594.933840155945,True,8,cpu
0,11394.275352941177,True,8,cpu
0,11394.275352941177,True,8,cpu
0,11394.275352941177,True,8,cpu
0,1.067982924226254,True,8,cpu
0,1.067982924226254,True,8,cpu
0,10694.438777777777,True,8,cpu
0,10694.438777777777,True,8,cpu
0,10694.438777777777,True,8,cpu
0,8137.888148148148,True,8,cpu
0,8137.888148148148,True,8,cpu
0,8137.888148148148,True,8,cpu
0,6829.9745487042,True,8,cpu
0,6829.9745487042,True,8,cpu
0,6829.9745487042,True,8,cpu
0,5210.5182264665755,True,8,cpu
0,5210.5182264665755,True,8,cpu
0,5210.5182264665755,True,8,cpu
0,9372.07935323383,True,8,cpu
0,9372.07935323383,True,8,cpu
0,9372.07935323383,True,8,cpu
0,7687.841293634497,True,8,cpu
0,7687.841293634497,True,8,cpu
0,7687.841293634497,True,8,cpu
0,9210.182046855733,True,8,cpu
0,9210.182046855733,True,8,cpu
0,9210.182046855733,True,8,cpu
0,8688.460139860139,True,8,cpu
0,8688.460139860139,True,8,cpu
0,8688.460139860139,True,8,cpu
0,8566.797811408615,True,8,cpu
0,8566.797811408615,True,8,cpu
0,8566.797811408615,True,8,cpu
0,10587.755362318841,True,8,cpu
0,10587.755362318841,True,8,cpu
0,10587.755362318841,True,8,cpu
0,1.5375809199318569,True,8,cpu
0,1.5375809199318569,True,8,cpu
0,10286.585847457627,True,8,cpu
0,10286.585847457627,True,8,cpu
0,10286.585847457627,True,8,cpu
0,1.59151832460733,True,8,cpu
0,1.59151832460733,True,8,cpu
0,1.3645544554455447,True,8,cpu
0,1.3645544554455447,True,8,cpu
0,1.3730452674897118,True,8,cpu
0,1.3730452674897118,True,8,cpu
0,6246.96525,True,8,cpu
0,6246.96525,True,8,cpu
0,6246.96525,True,8,cpu
0,8040.704354838709,True,8,cpu
0,8040.704354838709,True,8,cpu
0,8040.704354838709,True,8,cpu
0,1788.8219089498189,True,8,cpu
0,1788.8219089498189,True,8,cpu
0,1788.8219089498189,True,8,cpu
0,6705.570087804878,True,8,cpu
0,6705.570087804878,True,8,cpu
0,6705.570087804878,True,8,cpu
0,4958.161939218524,True,8,cpu
0,4958.161939218524,True,8,cpu
0,4958.161939218524,True,8,cpu
0,10475.199541284404,True,8,cpu
0,10475.199541284404,True,8,cpu
0,10475.199541284404,True,8,cpu
0,8048.262461538462,True,8,cpu
0,8048.262461538462,True,8,cpu
0,8048.262461538462,True,8,cpu
0,11344.968695652175,True,8,cpu
0,11344.968695652175,True,8,cpu
0,11344.968695652175,True,8,cpu
0,1985.9681396054627,True,8,cpu
0,1985.9681396054627,True,8,cpu
0,1985.9681396054627,True,8,cpu
0,5475.808274678111,True,8,cpu
0,5475.808274678111,True,8,cpu
0,5475.808274678111,True,8,cpu
0,8764.421243093922,True,8,cpu
0,8764.421243093922,True,8,cpu
0,8764.421243093922,True,8,cpu
0,7982.476025316455,True,8,cpu
0,7982.476025316455,True,8,cpu
0,7982.476025316455,True,8,cpu
0,7355.784289156626,True,8,cpu
0,7355.784289156626,True,8,cpu
0,7355.784289156626,True,8,cpu
0,1.5450410958904108,True,8,cpu
0,1.5450410958904108,True,8,cpu
0,7545.080526315789,True,8,cpu
0,7545.080526315789,True,8,cpu
0,7545.080526315789,True,8,cpu
0,1.5929472902746844,True,8,cpu
0,1.5929472902746844,True,8,cpu
0,13200.949576837418,True,8,cpu
0,13200.949576837418,True,8,cpu
0,13200.949576837418,True,8,cpu
0,9200.506540880504,True,8,cpu
0,9200.506540880504,True,8,cpu
0,9200.506540880504,True,8,cpu
0,4861.9126061615325,True,8,cpu
0,4861.9126061615325,True,8,cpu
0,4861.9126061615325,True,8,cpu
0,5651.96396097561,True,8,cpu
0,5651.96396097561,True,8,cpu
0,5651.96396097561,True,8,cpu
0,5813.375979487179,True,8,cpu
0,5813.375979487179,True,8,cpu
0,5813.375979487179,True,8,cpu
0,18595.1078807947,True,8,cpu
0,18595.1078807947,True,8,cpu
0,18595.1078807947,True,8,cpu
0,1.7506382978723403,True,8,cpu
0,1.7506382978723403,True,8,cpu
0,7721.059338842975,True,8,cpu
0,7721.059338842975,True,8,cpu
0,7721.059338842975,True,8,cpu
0,11871.106865671642,True,8,cpu
